简称,全名,基准价,跳蚤价,商人收购价,收购商人,差价
B&T侧v,B&T MP9侧轨,850,800,510,Jaeger,290
MP9枪托,B&T MP9常规枪托,2350,75000,1410,Jaeger,73590
MP9拉机柄,B&T MP9拉机柄,650,11111,364,Mechanic,10747
T-5000M,ORSIS T-5000M 7.62x51 栓动式狙击步枪,26974,99969,16184,Jaeger,83785
T-5000 660毫米 .308,660毫米T-5000枪管 .308,17672,11111,10603,Jaeger,508
T-5000 5发,.308 T-5000 5发弹匣,1950,25000,1092,Mechanic,23908
T-5000护木,Orsis T-5000护木,6500,40000,3640,Mechanic,36360
T-5000M枪托,Orsis T-5000M枪托,3150,333333,1890,Jaeger,331443
T-5000枪托,Orsis T-5000 铝枪体,13200,50000,7920,Jaeger,42080
T-5000M制退器,ORSIS T-5000M 7.62x51膛口制退器,4557,5222,2551,Mechanic,2671
T-5000基座,Orsis T-5000M瞄准镜基座,2200,19000,1320,Jaeger,17680
Orsis长,Oris长导轨,1150,100000,690,Jaeger,99310
Orsis中,Oris中导轨,1033,100000,619,Jaeger,99381
T-5000护垫,T-5000护垫,1850,5000,1036,Mechanic,3964
T-5000握把,Orsis T-5000手枪式握把,2716,45000,1520,Mechanic,43480
6B2,6B2 防弹衣（丛林迷彩）,17942,49999,11124,Ragman,38875
MPPV,Velocity Systems多用途巡逻背心,43296,236000,26843,Ragman,209157
6SH118,6SH118突击背包,144000,2400000,89280,Ragman,2310720
坦克头盔,TSH-4M-L软质坦克乘员头盔,6000,29999,3720,Ragman,26279
红球,圣诞树装饰球（红）,15000,250000,9450,Therapist,240550
银球,圣诞树装饰球（银）,10000,1000000,6300,Therapist,993700
紫球,圣诞树装饰球（紫）,20000,500000,12600,Therapist,487400
SR-25,奈特军械公司 (KAC) SR-25 7.62x51 精确射手步枪,24605,199999,14763,Jaeger,185236
SR-25拉机柄,KAC SR-25拉机柄,850,30000,476,Mechanic,29524
Ambi SR-25,KAC Ambidextrous AR-10拉机柄,1050,25000,588,Mechanic,24412
SR-25上机匣,KAC 7.62x51 SR-25步枪上机匣,6800,55000,3808,Mechanic,51192
KAC 10 7.62,KAC Steel 10 7.62x51 10发,1800,49000,1008,Mechanic,47992
KAC 20 7.62,KAC Steel 20 7.62x51 20发,2450,20000,1372,Mechanic,18628
 URX 4 14.5英寸,URX-4 AR-10兼容护木,16500,300000,9240,Mechanic,290760
16英寸SR-25,16英寸 SR-25兼容枪管 7.62x51,28700,40000,17220,Jaeger,22780
20英寸SR-25,20英寸 SR-25兼容枪管 7.62x51,35600,69000,21360,Jaeger,47640
KAC QDC,KAC QDC 7.62x51 AR-10 消焰器套件,6149,40000,3443,Mechanic,36557
PRS QDC,KAC PRS/QDC 7.62x51 消音器,43500,299999,24360,Mechanic,275639
KAC,KAC低轮廓型导气箍,5050,56000,2828,Mechanic,53172
KAC照门,KAC折叠式微型照门,3525,29900,1974,Mechanic,27926
KAC准星,KAC折叠式微型准星,2433,30000,1362,Mechanic,28638
SAG MK1,SAG MK1 SVD 框架平台,15900,35000,8904,Mechanic,26096
SVDS定制,SVDS定制防尘盖,1450,33322,812,Mechanic,32510
EMTI-019,EMTI-019基座,2000,8888,1200,Jaeger,7688
ADO P4,NcSTAR ADO P4 Sniper 3-9x42步枪瞄准镜,51344,32150,30806,Jaeger,1344
Pilad 4х32,VOMZ Pilad 4х32步枪瞄准镜,14468,8000,8680,Jaeger,-680
UTG 25毫米,UTG 25毫米环,1650,12000,990,Jaeger,11010
SVD低轮廓,SAG SVD 低轮廓侧导轨基座,9100,150000,5460,Jaeger,144540
MP9,B&T MP9 9x19微型冲锋枪,14288,49999,8001,Mechanic,41998
MP9,MP9 上机匣,4880,70000,2732,Mechanic,67268
EXFIL,Team Wendy EXFIL 防弹头盔（黑色）,113166,165000,70162,Ragman,94838
EXFIL面罩,TW EXFIL 防弹头盔面罩（黑色）,48825,600000,30271,Ragman,569729
EXFIL护耳,TW EXFIL 护耳（黑色）,49000,100000,30380,Ragman,69620
SVDS螺纹,Rotor 43 SVDS 螺纹转接器,1800,70000,1008,Mechanic,68992
R43 7.62x54R,Rotor 43 7.62x54R 消音器,46200,60000,25872,Mechanic,34128
EXFIL,Team Wendy EXFIL 防弹头盔（棕褐色）,101350,179999,62837,Ragman,117162
EXFIL护耳,TW EXFIL 护耳（棕褐色）,49000,280000,30380,Ragman,249620
EXFIL面罩,TW EXFIL 防弹头盔面罩（棕褐色）,48825,399999,30271,Ragman,369728
T46M,7.62x54R T-46M,356,440,199,Mechanic,241
7BT1,7.62x54R 7BT1,1180,17000,660,Mechanic,16340
7N37,7.62x54R 7N37,1980,17500,1108,Mechanic,16392
BPZ FMJ,7.62x51毫米 BPZ FMJ,240,868,134,Mechanic,734
TCW SP,7.62x51毫米 TCW SP,170,350,95,Mechanic,255
Ultra Nosler,7.62x51毫米 Ultra Nosler,120,900,67,Mechanic,833
MP9 默认,B&T MP9 9x19微型冲锋枪 默认,28368,49999,15885,Mechanic,34114
MP9-N 默认,B&T MP9-N 9x19 微型冲锋枪 默认,35260,20000,19745,Mechanic,255
SR-25 默认,奈特军械公司 (KAC) SR-25 7.62x51 精确射手步枪 默认,104149,250000,58321,Mechanic,191679
T-5000M 默认,ORSIS T-5000M 7.62x51 栓动式狙击步枪 默认,85018,87777,47606,Mechanic,40171
VPO-215 雪貂 默认,Molot VPO-215 雪貂 .366 TKM 栓动式步枪 默认,17700,19999,9912,Mechanic,10087
MDR 默认,沙漠科技 MDR 7.62x51 突击步枪 默认,131834,120000,73824,Mechanic,46176
DTKP,Hexagon DTKP MK.2 7.62x39 消音器,51714,26000,28959,Mechanic,-2959
Kocherga,Hexagon“烧火棍”AKM/AK-74 枪托（电镀红）,26780,44444,16068,Jaeger,28376
MG-47,KGB MG-47 AK 手枪式握把（电镀红）,17500,150000,9800,Mechanic,140200
GEN M3,Magpul PMAG 30 GEN M3 7.62x39 30 发 AK 弹匣（香蕉黄）,5183,199999,2902,Mechanic,197097
CNC War.,AK CNC Warrior 5.56x45膛口转换器,2615,46000,1464,Mechanic,44536
GreenBat ,GreenBat锂电池,26000,200000,16380,Therapist,183620
Cyclon ,Cyclon 蓄电池组,85000,140000,53550,Therapist,86450
杀虫剂,Repellent杀虫剂,8457,78420,5327,Therapist,73093
洁厕灵,Smoked Chimney下水道清洁剂,9457,345000,5957,Therapist,339043
氯石灰,一包氯石灰,11000,7000,6930,Therapist,70
Poxeram,Poxeram冷焊膏,19400,10000,12222,Therapist,-2222
KEK,KEKTAPE管道胶带,24000,58888,15120,Therapist,43768
火柴,Hunter火柴,3800,80000,2394,Therapist,77606
SurvL,SurvL幸存者打火机,16000,27500,10080,Therapist,17420
Cordura面料,Cordura聚酰胺面料,13200,120000,8316,Therapist,111684
绒布,绒布布料,4000,90000,2520,Therapist,87480
防撕布,防撕布料,5800,25000,3654,Therapist,21346
芳纶布,芳纶纤维布料,8800,35000,5544,Therapist,29456
引信,UZRGM手榴弹引信,8100,7777,5103,Therapist,2674
手榴弹,手榴弹箱,510000,349999,321300,Therapist,28699
VOG-17,VOG-17 Khattabka 简易手榴弹,9230,8888,4615,Prapor,4273
VOG-25,VOG-25 Khattabka 简易手榴弹,4700,22800,2350,Prapor,20450
ULTRA医疗,ULTRA 医疗仓库钥匙,158043,280000,99567,Therapist,180433
#11SR,Object #11SR 钥匙卡,100000,111111,63000,Therapist,48111
#21WS,Object #21WS 钥匙卡,50000,29650,31500,Therapist,-1850
Slick,LBT-6094A Slick 插板背心（黑色）,254200,170000,157604,Ragman,12396
Bank Robber,Spiritus Systems Bank Robber 胸挂,8200,55000,5084,Ragman,49916
SFMP,LBT-2670 小型野战医物包,20000,99000,12400,Ragman,86600
Tarzan,Splav Tarzan M22 胸挂,19200,54444,11904,Ragman,42540
CPC MOD.1,Ars Arma CPC MOD.1 插板胸挂（A-TACS FG 迷彩）,78992,150000,48975,Ragman,101025
TC 800,MSA Gallet TC 800 High Cut 作战头盔,54120,30000,33554,Ragman,-3554
Razor,Walker's Razor 数字耳机,35100,30000,21762,Ragman,8238
乌鸦,乌鸦雕像,48000,30000,30240,Therapist,-240
Lupo's,一罐Dr. Lupo的咖啡豆,52000,30000,32760,Therapist,-2760
Shroud,Shroud 半面巾,42000,28500,26040,Ragman,2460
瘟疫面罩,Pestily 瘟疫面具,94900,50000,58838,Ragman,-8838
SVD现代化,Izmash SVD现代化护木,14300,40000,8008,Mechanic,31992
XRS DRG,CAA XRS DRG SVD基座,9600,22222,5376,Mechanic,16846
SVD现代化,SVD 现代化套件上导轨,9209,30000,5525,Jaeger,24475
DRG L-1,CAA DRG L-1 SVD基座,2600,250000,1560,Jaeger,248440
 XD RGL,CAA XD RGL SVD基座,6400,35000,3840,Jaeger,31160
Rivals, Twitch Rivals 2020 面罩,24000,0,14880,Ragman,0
Rivals,Twitch Rivals 2020 眼镜,25600,400000,15872,Ragman,384128
Rivals,Twitch Rivals 2020 半面巾,32000,5000000,19840,Ragman,4980160
M1911A1,柯尔特 M1911A1 .45 ACP 手枪,5408,30420,3028,Mechanic,27392
1911,M1911 .45 ACP 7发弹匣,1100,17900,616,Mechanic,17284
M1911A1 .45,M1911A1 .45 ACP 标准枪管,1700,0,1020,Jaeger,0
M1911A1 杠杆,M1911A1 空仓挂机柄,300,0,168,Mechanic,0
M1911A1 击锤,M1911A1 击锤,350,0,196,Mechanic,0
M1911A1 扳机,M1911A1 扳机,450,0,252,Mechanic,0
1911,M1911A1 标准聚合物握把,800,3000,448,Mechanic,2552
GL-40,FN GL-40 Mk.2 榴弹发射器,110000,1999420,61600,Mechanic,1937820
M1911A1 套筒,M1911A1 .45 ACP 套筒,3109,0,1741,Mechanic,0
M1911A1 准星,M1911A1 准星,502,0,281,Mechanic,0
M1911A1 照门,M1911A1 照门,604,0,338,Mechanic,0
.45 FMJ,.45 ACP FMJ,94,100,52,Mechanic,48
Esmarch,Esmarch止血带,1920,33000,1209,Therapist,31791
止血剂,CALOK-B止血剂,5712,59999,3598,Therapist,56401
KS-23M,TOZ KS-23M 23x75 毫米泵动式霰弹枪,18402,202020,11041,Jaeger,190979
510mm KS23 23mm,510mm枪管 KS-23 23x75mm,8100,150000,4860,Jaeger,145140
700mm KS23 23mm,700mm枪管 KS-23 23x75mm,7403,55554,4441,Jaeger,51113
KS-23M下护木,TOZ KS-23M下护木,2100,12222,1176,Mechanic,11046
KS23M聚合物握把,KS-23M聚合物手枪式握把,2608,150000,1460,Mechanic,148540
KS23木制,KS-23木制枪托,1486,200000,891,Jaeger,199109
KS-23M金属,KS-23金属枪托,1900,240000,1140,Jaeger,238860
破片-10,23x75 毫米“破片-10”霰弹,78,880,43,Mechanic,837
红星,23x75 毫米“红星”闪光弹,980,3000,548,Mechanic,2452
破障,23x75 毫米“路障”独头弹,256,3600,143,Mechanic,3457
590A1,Mossberg 590A1 12铅径 泵动式霰弹枪,14402,45749,8641,Jaeger,37108
20英寸 M590,20英寸 M590枪管 12铅径,9800,0,5880,Jaeger,0
Speedfeed,Speedfeed M870 短下护木,1402,23333,785,Mechanic,22548
M590A1x8,M590A1 12铅径 8发弹仓,1500,100000,840,Mechanic,99160
GR FS,M590 鬼环准星,700,1111,392,Mechanic,719
GR RS,M590 鬼环照门,800,33333,448,Mechanic,32885
M590A1 枪托,M590A1 聚合物枪托,1500,29999,900,Jaeger,29099
格瓦斯,“诺文斯基核动力”金牌格瓦斯600毫升装,15532,100000,9785,Therapist,90215
Sanitar 包,Sanitar 包,46075,200000,28566,Ragman,171434
Defender-2,FORT Defender-2 护甲,80609,99999,49977,Ragman,50022
LBCR,LBT-1961A 承重胸挂（MAS 灰色）,38250,211111,23715,Ragman,187396
Day Pack,LBT-8005A Day Pack背包,22600,33333,14012,Ragman,19321
PPSh-41,7.62x25 PPSh-41 269 毫米枪管,8200,0,4920,Jaeger,0
35 PPSH,PPSH-41 7.62x25 35发弹匣,2631,2800,1473,Mechanic,1327
71 PPSH,PPSH-41 7.62x25 71发弹匣,16000,300000,8960,Mechanic,291040
PPSH-41 防尘盖,PPSH-41 防尘盖,1200,0,672,Mechanic,0
PPSH-41 枪托,PPSH-41 枪托,2120,1000,1272,Jaeger,-272
PPSh41,PPSh-41 7.62x25 冲锋枪,10251,130000,5740,Mechanic,124260
Heavy Trooper,Ops-Core头盔Tac-Kek Heavy Trooper面罩,61000,777777,37820,Ragman,739957
TK Fast MT,Tac-Kek Fast MT 头盔（不防弹的仿制品）,11000,53333,6820,Ragman,46513
SMR Mk.16 9.5,Geissele SMR Mk.16 9.5英寸 M-LOK AR-15 护木,16100,100000,9016,Mechanic,90984
SMR Mk.16 13.5,Geissele SMR Mk.16 13.5 英寸 M-LOK AR-15护木,14400,85000,8064,Mechanic,76936
ACH,AR-15 Geissele ACH 拉机柄,5180,28500,2900,Mechanic,25600
SF4P-556,Surefire SF4P 5.56x45 AR-15 消焰器,6900,55000,3864,Mechanic,51136
556-RC2,Surefire SOCOM556-RC2 5.56x45消音器,49500,31900,27720,Mechanic,4180
DA Bastion,Diamond Age Bastion 头盔（黑色）,59545,56800,36917,Ragman,19883
Bastion,Bastion 头盔附加装甲,121330,3999999,75224,Ragman,3924775
.45 RIP,.45 RIP,420,780,235,Mechanic,545
PPSh41 默认,PPSh-41 7.62x25 冲锋枪 默认,24402,24000,13664,Mechanic,10336
M1911A1 默认,柯尔特 M1911A1 .45 ACP 手枪 默认,14323,150000,8020,Mechanic,141980
M4A1 USASOC-I,柯尔特 M4A1 5.56x45 卡宾枪 USASOC-I,204846,145666,114710,Mechanic,30956
M4A1 USASOC-II,柯尔特 M4A1 5.56x45 卡宾枪 USASOC-II,222500,118888,124595,Mechanic,-5707
3-(b-TG),3-(b-TG) 兴奋剂注射器,30693,22000,19336,Therapist,2664
L1,L1（去甲肾上腺素）,37570,22000,23669,Therapist,-1669
P22,P22 (22 号化合物) 兴奋剂注射器,40300,15000,25389,Therapist,-10389
AHF1-M,AHF1-M 兴奋剂注射器,45500,27000,28665,Therapist,-1665
Meldonin,Meldonin 注射器,55900,220000,35217,Therapist,184783
M.U.L.E,M.U.L.E. 兴奋剂,43550,98000,27436,Therapist,70564
Obdolbos,Obdolbos 鸡尾酒兴奋剂注射器,61893,40000,38992,Therapist,1008
M406,40x46毫米 M406(HE),7700,444400,4312,Mechanic,440088
M441,40x46毫米 M441(HE),21250,60000,11900,Mechanic,48100
 M381,40x46毫米 M381(HE),17125,1500000,9590,Mechanic,1490410
M576,40x46毫米 M576(MP-APERS),256,55555,143,Mechanic,55412
M386,40x46毫米 M386(HE),5600,210000,3136,Mechanic,206864
RB-PKPM,RB-PKPM 符号钥匙,250000,40000000,157500,Therapist,39842500
RB-RLSA,RB-RLSA 钥匙,77000,140000,48510,Therapist,91490
MOE M590,Magpul MOE M590 下护木,7900,11500,4424,Mechanic,7076
SGA M590,SGA M590 枪托,8824,40000,5294,Jaeger,34706
M590导轨,M590 战术导轨,5900,20000,3540,Jaeger,16460
LEO M590,LEO gen.1 M590枪托转接器,2600,5000,1560,Jaeger,3440
Mesa Crosshair,Mesa Tactical Crosshair Hydraulic 缓冲管,21300,66666,12780,Jaeger,53886
Trik,Caspian Trik M1911A1 扳机,3700,3600,2072,Mechanic,1528
Mec-Gar,Mec-Gar .45 ACP M1911A1 11发弹匣,2100,7000,1176,Mechanic,5824
Wilson Ext.,Wilson M1911A1 加长套筒卡锁,1800,1700,1008,Mechanic,692
US Ham.,Wilson Ultralight M1911A1 镂空击锤,4900,4800,2744,Mechanic,2056
M1911A1 击锤,M1911A1 击锤,1500,0,840,Mechanic,0
HEX Ham.,STI HEX M1911A1击锤,4000,0,2240,Mechanic,0
#423,Pachmayr “美国传奇” #423 M1911A1 握把,2900,7000,1624,Mechanic,5376
TGM,NCStar M1911A1 扳机保护基座,2300,7000,1380,Jaeger,5620
Weig-a-tinny,Weigand Weig-a-tinny M1911A1 基座,2900,5000,1740,Jaeger,3260
AO MB,M1911 Anarchy Outdoors .45 ACP膛口制退器,4700,2000,2632,Mechanic,-632
B-30+B-31S,Zenit B-30 护木 + B-31S 上导轨,18327,49900,10263,Mechanic,39637
M993,7.62x51 毫米 M993,1723,75000,964,Mechanic,74036
.45 AP,.45 ACP AP,670,600,375,Mechanic,225
.45LM,.45 ACP Lasermatch FMJ,76,990,42,Mechanic,948
7N31,9x19 毫米 7N31,600,1500,336,Mechanic,1164
QuakeMaker,9x19 毫米 QuakeMaker,300,666,168,Mechanic,498
.45 HS,.45 ACP Hydra-Shok,150,200,84,Mechanic,116
钥匙卡,蓝色记号钥匙卡,50000,645995,31500,Therapist,614495
胶带钥匙,粘有胶带的疗养院办公室钥匙,123304,60000,77681,Therapist,-17681
366 AP,.366 AP,720,3600,403,Mechanic,3197
590A1 默认,Mossberg 590A1 12铅径 泵动式霰弹枪 默认,30104,50000,16858,Mechanic,33142
GL-40 默认,FN GL-40 Mk.2 榴弹发射器 默认,111599,999999,62495,Mechanic,937504
M433,40x46 毫米 M433 (HEDP),10538,280000,5901,Mechanic,274099
RFB,Kel-Tec RFB 7.62x51,23300,33333,13980,Jaeger,19353
RFB垫片,RFB螺纹垫片,2200,33333,1232,Mechanic,32101
RFB保护帽,RFB螺纹保护帽,400,200,224,Mechanic,-24
RFB FH,RFB 7.62x51 标准消焰器,1340,1500,750,Mechanic,750
18英寸 RFB 7.62x51,18英寸RFB枪管 7.62x51,15700,30000,9420,Jaeger,20580
RFB HG,Kel-Tec RFB标准护木,10885,15555,6095,Mechanic,9460
RFB HG导轨,Kel-Tec RFB导轨护木,2125,9999,1275,Jaeger,8724
RFB瞄准镜基座,Kel-Tec RFB瞄准镜导轨基座,2640,9999,1584,Jaeger,8415
M45A1,柯尔特 M45A1 .45 ACP 手枪,7408,23420,4148,Mechanic,19272
M45A1 击锤,M45A1 击锤,500,36888,280,Mechanic,36608
M45A1 扳机,M45A1 扳机,550,45888,308,Mechanic,45580
M45A1 空仓挂机柄,M45A1 空仓挂机柄,500,36888,280,Mechanic,36608
M45A1 聚合物握把,M45A1 标准聚合物握把,1200,45000,672,Mechanic,44328
M45A1,M45A1 .45 ACP 7发弹匣,1200,19000,672,Mechanic,18328
M1911A1 .45,M1911A1 .45 ACP 螺纹枪管,3200,10000,1920,Jaeger,8080
National match .45,National M1911 .45 ACP 竞赛枪管,3100,60000,1860,Jaeger,58140
M45A1套筒,M45A1 .45 ACP套筒,5100,100000,2856,Mechanic,97144
Lomount照门,Novak Lomount照门,800,75000,448,Mechanic,74552
Lomount FS,Novak Lomount准星,750,65000,420,Mechanic,64580
指南针,EYE MK.2 手持指南针专业版,65700,99998,36792,Mechanic,63206
LK 3F,LK 3F Transfer旅行背包,18000,55555,11160,Ragman,44395
F5 弹簧刀,Eberlestock F5 弹簧刀 背包（干土色）,58950,99900,36549,Ragman,63351
F4 终结者,Eberlestock F4 终结者 承重背包（虎纹迷彩）,90480,280000,56097,Ragman,223903
Korund-VM,NPP KlASS 刚玉-VM护甲（黑色）,60426,88888,37464,Ragman,51424
Thunderbolt,Direct Action Thunderbolt小型胸挂,25160,37000,15599,Ragman,21401
Caiman,Galvion 凯门鳄 复合防弹头盔（灰色）,51320,177777,31818,Ragman,145959
Caiman BA,Galvion Caiman Hybrid防弹贴片,66330,119000,41124,Ragman,77876
FAV,Galvion Caiman面罩固定臂,22437,108888,13910,Ragman,94978
Caiman BMG,Galvion Caiman Hybrid防弹护颚,24500,60000,15190,Ragman,44810
Rys-T,Rys-T 防弹头盔（黑色）,178001,1499999,110360,Ragman,1389639
Rys-T FS,Rys-T 面罩,79460,200000,49265,Ragman,150735
XCEL, Walker's XCEL 500BT 数字耳机,60125,47777,37277,Ragman,10500
贝雷帽,黑色贝雷帽,1500,15000,930,Ragman,14070
贝雷帽,蓝色贝雷帽,3400,50000,2108,Ragman,47892
贝雷帽,橄榄绿贝雷帽,1353,9999,838,Ragman,9161
X47,X47 Tactical AK兼容护木,19300,49998,10808,Mechanic,39190
LCH-7 12.5,Lancer LCH-7 12.5英寸 AR-10 M-LOK护木 ,21200,88888,11872,Mechanic,77016
CRD 556,Ferfrans CRD 5.56x45 后座缓冲装置,9650,40000,5404,Mechanic,34596
RRD 4C,JMAC RRD-4C 7.62x39 AKM膛口制退器,13100,26666,7336,Mechanic,19330
RRD 4C,JMAC RRD-4C AK-74膛口制退器,11800,40000,6608,Mechanic,33392
AR-15拉机柄,Avalanche Mod.2 AR-15拉机柄,7474,54545,4185,Mechanic,50360
SVD式枪托,VPO-101 SVD式枪托,5400,25000,3240,Jaeger,21760
Rotor43 7.62x51,Rotor 43 7.62x51 VPO-101膛口制退器,33000,43333,18480,Mechanic,24853
TD,TD铝合金垂直握把,7500,18880,4200,Mechanic,14680
Scorpius,Aeroknox scorpius AK手枪式握把,5800,69420,3248,Mechanic,66172
Bravo-18,SOK-12 Bravo-18铝合金护木,13200,15000,7392,Mechanic,7608
Ferfrans膛口制退,AR-15 Ferfrans CQB 5.56x45膛口制退器,8400,38640,4704,Mechanic,33936
KS-23Mx3,KS-23M 23mm 3发弹舱,2200,12222,1232,Mechanic,10990
破片-25,23x75 毫米“破片-25”霰弹,96,350,53,Mechanic,297
M45A1 默认,柯尔特 M45A1 .45 ACP 手枪 默认,21108,24499,11820,Mechanic,12679
RFB 默认,Kel-Tec RFB 7.62x51 默认,63388,31111,35495,Mechanic,-4384
KS-23M Drozd,TOZ KS-23M 23x75 毫米泵动式霰弹枪 Drozd,35310,400000,19773,Mechanic,380227
KS-23M 默认,TOZ KS-23M 23x75 毫米泵动式霰弹枪 默认,31591,111111,17690,Mechanic,93421
Veritas,Veritas吉他拨片,55000,29000,34650,Therapist,-5650
Rivals,Rivals 2020 帽,1645,1000000,1019,Ragman,998981
Rivals,Rivals 2020 圆帽,1256,1000000,778,Ragman,999222
Rivals,Rivals 2020 臂带,20000,450000,12400,Ragman,437600
Vector .45,TDI KRISS Vector Gen.2 .45 ACP 冲锋枪,31650,70000,17724,Mechanic,52276
.45 Glock,Glock .45 ACP 弹匣,1550,1500,868,Mechanic,632
G30 MagEx,KRISS G30 MagEx Glock .45 ACP 30 发弹匣,4100,44444,2296,Mechanic,42148
5英寸 Vector .45,5英寸 Vector枪管 .45 ACP,8900,6000,5340,Jaeger,660
6英寸Vector .45,6英寸Vector枪管 .45 ACP,10700,120000,6420,Jaeger,113580
Vector 45,Kriss Vector .45 ACP 消焰器,1340,56789,750,Mechanic,56039
Vector保护帽,Kriss Vector .45 ACP螺纹保护帽,400,100,224,Mechanic,-124
Vector 枪托,KRISS Vector Gen.2 折叠枪托,6120,50000,3672,Jaeger,46328
Vector PSA,Kriss Vector手枪吊带卡口,1500,8000,900,Jaeger,7100
Vector NFA,KRISS Vector 非可折叠枪托转接器,3900,9999,2340,Jaeger,7659
Defiance 照门,KRISS “Defiance 低轮廓折叠式” 照门,3200,39999,1792,Mechanic,38207
Defiance准星,KRISS “Defiance 低轮廓折叠式” 准星,2200,39999,1232,Mechanic,38767
Vector底导轨,KRISS Vector底导轨,1100,1200,660,Jaeger,540
Mk.5,KRISS Vector Mk.5 模块化导轨,2200,5000,1320,Jaeger,3680
DS150,KRISS Defiance DS150 枪托（黑色）,7900,41111,4740,Jaeger,36371
Vector 9x19,Kriss Vector 9x19 消焰器,1340,1540,750,Mechanic,790
Vector保护帽,Vector 9x19螺纹保护帽,400,459,224,Mechanic,235
5英寸 Vector 9x19,Vector 9x19 5英寸枪管,8200,9000,4920,Jaeger,4080
6英寸 Vector 9x19,Vector 9x19 6英寸枪管,9700,60000,5820,Jaeger,54180
171毫米 MCX .300 BLK,171毫米 MCX兼容枪管 .300 BLK,16118,30000,9670,Jaeger,20330
229毫米 MCX .300 BLK,229毫米 MCX兼容枪管 .300 BLK,19418,211111,11650,Jaeger,199461
MCX 导气箍,SIG MCX导气箍,4500,23456,2520,Mechanic,20936
MCX 8英寸,SIG 8英寸Keymod MCX握把,8000,66666,4480,Mechanic,62186
MCX 12英寸,MCX GEN1 KeyMod 12 inch handguard,10000,37000,5600,Mechanic,31400
T-LOK,SIG Sauer Taper-LOK 7.62x51/.300 BLK膛口转接器,4230,10000,2368,Mechanic,7632
三叉消焰,三叉 SIG 消焰器 7.62x51,1840,10000,1030,Mechanic,8970
微型制退器,SIG 微型膛口制退器 7.62x51,2340,2600,1310,Mechanic,1290
TPB 762,SIG 双端膛口制退器 7.62x51,5800,15555,3248,Mechanic,12307
MCX手枪式,SIG MCX手枪式握把,2400,9999,1344,Mechanic,8655
MCX .300 BLK,SIG MCX .300 AAC Blackout 突击步枪,21300,188888,11928,Mechanic,176960
MPX 1 gen.,Sig-Sauer MCX 一代上机匣,3509,20000,1965,Mechanic,18035
MCX/MPX 伸缩,SIG Sauer MCX/MPX 伸缩枪托,4839,39999,2903,Jaeger,37096
MCX/MPX 轻量化,SIG Sauer MCX/MPX 轻量化枪托,6900,19000,4140,Jaeger,14860
MCX拉机柄,Sig-Sauer MCX拉机柄,733,25000,410,Mechanic,24590
BPZ,.300 BLK BPZ FMJ,288,775,161,Mechanic,614
SRD762-QD,Sig-Sauer SRD QD 7.62x51 声音抑制器,54520,47890,30531,Mechanic,17359
SRD762,SIG Sauer SRD762Ti 7.62x51 消音器,52020,35111,29131,Mechanic,5980
MVF001 A3,MVF001 A3 KeyMod 垂直握把 black,7809,7000,4373,Mechanic,2627
SSVFK blk.,Sig Sauer Keymod 垂直握把 Black,5400,35000,3024,Mechanic,31976
SIG 准星,SIG MCX折叠式准星,2350,6969,1316,Mechanic,5653
SIG 折叠照门,SIG MCX 折叠式照门,1050,17988,588,Mechanic,17400
Mk-18 雷霆之锤,SWORD International Mk-18 .338 LM 精确射手步枪,64400,888888,38640,Jaeger,850248
Mk-18 10,Sword Int. Mk-18 .338 LM 10发弹匣,14600,47777,8176,Mechanic,39601
Sword 18英寸,Sword 18英寸Mk-18护木,16400,100000,9184,Mechanic,90816
Mk-18导气箍,Mk-18导气箍,8050,29990,4508,Mechanic,25482
AC-858,SilencerCo AC-858 ASR .338 LM 膛口制退器,8120,8200,4547,Mechanic,3653
24英寸 Mk-18 .338 LM,24英寸Mk-18 .338 LM 枪管,63567,100000,38140,Jaeger,61860
Precision,B5 Precision枪托,18500,20500,11100,Jaeger,9400
FMJ,.338 Lapua Magnum FMJ,1800,5000,1008,Mechanic,3992
Mk-18上机匣,Sword Int. Mk-18 mod 1上机匣,22150,240000,12404,Mechanic,227596
AP,.338 Lapua Magnum AP,4580,87777,2564,Mechanic,85213
TAC-X,.338 Lapua Magnum TAC-X,680,700,380,Mechanic,320
.338 UPZ,.338 UPZ Lapua Magnum,830,1699,464,Mechanic,1235
UMP 45,HK UMP 45冲锋枪,26500,34000,14840,Mechanic,19160
UMP 45,UMP 25发 .45 ACP标准弹匣,2300,10000,1288,Mechanic,8712
8英寸 UMP .45 ACP,UMP .45 ACP的8英寸枪管。,6900,10000,4140,Jaeger,5860
UMP枪托,UMP聚合物枪托,6500,19999,3900,Jaeger,16099
Vector 9x19,TDI Kriss Vector Gen.2 9x19 冲锋枪,27800,55555,15568,Mechanic,39987
PM Omega,SilencerCo Omega 45k Piston转接器,3990,25000,2234,Mechanic,22766
DT Omega,SilencerCo Omega 45k直螺纹转接器,3750,3000,2100,Mechanic,900
Omega 45k,SilencerCo Omega 45k .45 ACP 声音抑制器,37742,44000,21135,Mechanic,22865
底导轨,HK UMP 底导轨,1573,9999,943,Jaeger,9056
侧导轨,HK UMP侧导轨,1033,15000,619,Jaeger,14381
仪式刀,邪教徒之刃,35000,62000,21000,Jaeger,41000
xTG-12,xTG-12解毒剂,80600,45000,50778,Therapist,-5778
SJ9,SJ9 TGLabs战斗兴奋剂注射器,89700,85000,56511,Therapist,28489
